home_team,away_team,home_xg,away_xg,pred_home,pred_draw,pred_away,pred_o25,pred_btts,actual_result,actual_home_goals,actual_away_goals,actual_total,actual_o25,actual_btts,entropy,match_type
PARMA,INTER,0.9388404373382405,2.133924967976198,0.1614,0.1946,0.644,0.6052,0.5426,D,2,2,4,1,1,1.2930760434187367,balanced
CRYSTAL PALACE,SOUTHAMPTON,1.5721062263227523,0.8622135502968183,0.5404,0.2539,0.2057,0.447,0.4629,H,2,1,3,1,1,1.451232378214769,balanced
BREST,LORIENT,1.538523459472794,0.800347119811439,0.5438,0.2558,0.2004,0.4221,0.4297,H,4,0,4,1,0,1.4457924686789423,balanced
VILLARREAL,GIRONA,1.7806918713218662,1.312879795678433,0.481,0.2365,0.2825,0.6056,0.6182,A,1,2,3,1,1,1.5150132753859598,high_uncertainty
GIRONA,OVIEDO,1.366549417561331,0.9511944410371265,0.4631,0.2728,0.2641,0.4088,0.4539,D,3,3,6,1,1,1.5328659527919453,high_uncertainty
PARMA,MONZA,1.2065410602253173,1.4659975209772798,0.3202,0.2502,0.4296,0.5071,0.5376,H,2,1,3,1,1,1.5498395584469227,high_uncertainty
ARSENAL,NEWCASTLE,2.6533507214304035,1.104413198614462,0.7067,0.1608,0.1325,0.7167,0.6149,H,4,1,5,1,1,1.1642732159702605,predictable
FIORENTINA,MONZA,2.4710646917773302,0.754895211422803,0.7467,0.157,0.0963,0.6244,0.4855,D,2,2,4,1,1,1.059171233821996,predictable
NAPOLI,EMPOLI,2.5230475803052643,0.6849185659731275,0.7637,0.1543,0.082,0.6202,0.4579,A,0,1,1,0,0,1.0089169548034074,predictable
IPSWICH,MAN CITY,1.0023716394011386,2.08907057553144,0.1713,0.2071,0.6216,0.5975,0.5539,A,0,6,6,1,0,1.3328572893785597,balanced
LIVERPOOL,IPSWICH,2.8477736808925447,0.65321708631402,0.8234,0.1183,0.0583,0.6846,0.4573,H,4,1,5,1,1,0.8341808034735303,predictable
HEIDENHEIM,STUTTGART,1.2555164633970932,1.6381939722729386,0.2956,0.2437,0.4607,0.5541,0.5791,H,2,0,2,0,0,1.531230489872309,high_uncertainty
VALLECANO,GETAFE,1.3413965300585313,1.0557677307227857,0.4372,0.2693,0.2935,0.4235,0.4693,D,0,0,0,0,0,1.5506395201411514,high_uncertainty
CELTA,MALLORCA,1.3992005867585164,0.8910271390350601,0.485,0.2759,0.2391,0.4043,0.4519,H,2,0,2,0,0,1.5124522224510328,high_uncertainty
NANTES,LENS,1.3026465755492596,1.4254028098809763,0.3491,0.257,0.3939,0.5177,0.5592,A,0,1,1,0,0,1.5632357705887328,high_uncertainty
CHELSEA,FULHAM,2.1925336053448774,1.1225635938814191,0.6074,0.2097,0.1829,0.6362,0.6019,H,1,0,1,0,0,1.3577362465850387,balanced
BREST,MONTPELLIER,1.40015038510937,0.8570172145023063,0.5074,0.2694,0.2232,0.3913,0.4269,H,2,0,2,0,0,1.4893117868735875,balanced
M'GLADBACH,UNION BERLIN,1.6633024282324362,0.9609385751430269,0.5448,0.2483,0.2069,0.486,0.4968,D,0,0,0,0,0,1.4466812935767275,balanced
OSASUNA,VALLECANO,1.321019305613752,1.3533318077937675,0.368,0.2549,0.3771,0.5071,0.5419,H,2,0,2,0,0,1.5639722953801385,high_uncertainty
ST ETIENNE,NANTES,1.1678520667448355,1.3451911038174147,0.3201,0.267,0.4129,0.4639,0.5107,D,1,1,2,0,1,1.561629085321763,high_uncertainty
MALLORCA,CADIZ,1.2536746475715577,0.8603363346847278,0.4517,0.295,0.2533,0.3606,0.4221,D,1,1,2,0,1,1.53926828714816,high_uncertainty
SEVILLA,ATH MADRID,1.0493433752463681,1.2535018846478228,0.3104,0.2763,0.4133,0.4061,0.4625,A,1,2,3,1,1,1.563470340787076,high_uncertainty
LAZIO,LECCE,2.135281393011958,0.7706558378124673,0.6878,0.188,0.1242,0.5627,0.4799,A,0,1,1,0,0,1.198425226001919,predictable
EVERTON,CHELSEA,1.6760603805050678,1.027892572910945,0.5216,0.2498,0.2286,0.5055,0.5178,H,2,0,2,0,0,1.476375470727022,balanced
